Title,Release Year,Locations,Production Company,Director,Writer,Actor 1
Freebie and the Bean,1974,Broadway and Columbus Avenue (North Beach),Warner Bros. Pictures,Richard Rush,Robert Kaufman,Alan Arkin
Herbie Rides Again,1974,Castagnola's Restaurant (Fisherman's Wharf),Walt Disney Productions,Robert Stevenson,Bill Walsh,Helen Hayes
Herbie Rides Again,1974,Sheraton Palace Hotel (639 Market Street),Walt Disney Productions,Robert Stevenson,Bill Walsh,Helen Hayes
Herbie Rides Again,1974,Golden Gate Bridge,Walt Disney Productions,Robert Stevenson,Bill Walsh,Helen Hayes
The Conversation,1974,"American Roofing Co. Building (297 Kansas Street, Potrero Hill)",American Zoetrope,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman
The Conversation,1974,Alta Plaza Park (Steiner Street),American Zoetrope,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman
The Conversation,1974,Alcoa Building (1 Maritime Plaza),American Zoetrope,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman
The Conversation,1974,Alamo Square (Hayes Valley),American Zoetrope,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman
The Conversation,1974,"Westin St. Francis Hotel (335 Powell Street, Union Square)",American Zoetrope,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman
The Conversation,1974,Union Square,American Zoetrope,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman
The Conversation,1974,"Saks Fifth Avenue (384 Post Street, Union Square)",American Zoetrope,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman
The Conversation,1974,One Embarcadero Center (Financial District),American Zoetrope,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman
The Conversation,1974,"Neiman Marcus (150 Stockton Street, Union Square)",American Zoetrope,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman
The Conversation,1974,Financial District,American Zoetrope,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman
The Conversation,1974,"Cathedral Hill Hotel (1101 Van Ness Avenue, Civic Center)",American Zoetrope,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman
The Towering Inferno,1974,"Bank of America Building (555 California Street, Financial District)",Irwin Allen Productions,John Guillermin,Stirling Silliphant,Steve McQueen
The Towering Inferno,1974,"San Francisco Fire Station 38 (2150 California Street, Pacific Heights)",Irwin Allen Productions,John Guillermin,Stirling Silliphant,Steve McQueen
The Towering Inferno,1974,"Hyatt Regency Hotel (5 Embarcadero Center, Financial District)",Irwin Allen Productions,John Guillermin,Stirling Silliphant,Steve McQueen
The Towering Inferno,1974,Grace Cathedral Episcopal Church (1100 California Street),Irwin Allen Productions,John Guillermin,Stirling Silliphant,Steve McQueen
The Towering Inferno,1974,Firestation #38 (California & Laguna),Irwin Allen Productions,John Guillermin,Stirling Silliphant,Steve McQueen
The Towering Inferno,1974,"Fairmont Hotel (950 Mason Street, Nob Hill)",Irwin Allen Productions,John Guillermin,Stirling Silliphant,Steve McQueen
The Towering Inferno,1974,2898 Vallejo Street,Irwin Allen Productions,John Guillermin,Stirling Silliphant,Steve McQueen
Family Plot,1976,Grace Cathedral Episcopal Church (1100 California Street),Universal Pictures,Alfred Hitchcock,Ernest Lehman,Karen Black
Family Plot,1976,"Fairmont Hotel (950 Mason Street, Nob Hill)",Universal Pictures,Alfred Hitchcock,Ernest Lehman,Karen Black
Family Plot,1976,2230 Sacramento Street,Universal Pictures,Alfred Hitchcock,Ernest Lehman,Karen Black
Family Plot,1976,Nob Hill,Universal Pictures,Alfred Hitchcock,Ernest Lehman,Karen Black
The Enforcer,1976,Sutter & Webster Streets,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood
The Enforcer,1976,Hall of Justice,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood
The Enforcer,1976,Coit Tower,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood
The Enforcer,1976,City Hall,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood
The Enforcer,1976,Balmy Street (Mission District),Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood
The Enforcer,1976,Alcatraz Island,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood
The Enforcer,1976,24th Street Mini Park (Mission District),Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood
The Enforcer,1976,23rd & Capp Streets (Mission District),Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood
The Enforcer,1976,"Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)",Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood
High Anxiety,1977,Hyatt Regency Hotel (5 Embarcadero Center),Twentieth Century Fox Film Corporation,Mel Brooks,Mel Brooks,Mel Brooks
High Anxiety,1977,"Fort Point (Presidio, Golden Gate National Recreation Area)",Twentieth Century Fox Film Corporation,Mel Brooks,Mel Brooks,Mel Brooks
High Anxiety,1977,"Conservatory of Flowers, Golden Gate Park",Twentieth Century Fox Film Corporation,Mel Brooks,Mel Brooks,Mel Brooks
A Night Full of Rain,1978,Embarcadero Freeway,Liberty Film,Lina Wertmuller,Lina Wertmuller,Candice Bergen
A Night Full of Rain,1978,"Fairmont Hotel (950 Mason Street, Nob Hill)",Liberty Film,Lina Wertmuller,Lina Wertmuller,Candice Bergen
A Night Full of Rain,1978,San Francisco Chronicle (901 Mission Street at 15th Street),Liberty Film,Lina Wertmuller,Lina Wertmuller,Candice Bergen
A Night Full of Rain,1978,Broadway (North Beach),Liberty Film,Lina Wertmuller,Lina Wertmuller,Candice Bergen
Attack of the Killer Tomatoes,1978,Hyde Street Cable Car,Four Square Productions,John DeBello,John DeBello,David Miller
Foul Play,1978,War Memorial Opera House (401 Van Ness Avenue),Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn
Foul Play,1978,Sutter & Buchannan Streets,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn
Foul Play,1978,Sutter & Baker Streets,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn
Foul Play,1978,Sokoji-Soto Zen Buddhist Temple (1691 Laguna Street),Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn
Foul Play,1978,Sacramento & Hyde Streets (Nob Hill),Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn
Foul Play,1978,"Postcard Row (Alamo Square, Hayes Valley)",Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn
Foul Play,1978,Potrero Hill Bathhouse & Feed Co. (199 Mississippi Street),Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn
Foul Play,1978,Octavia & Hayes Streets (Hayes Valley),Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn
Foul Play,1978,Montgomery & Pine Streets (Financial District),Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn
Foul Play,1978,Laguna & Sacramento Streets (Pacific Heights),Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn
Foul Play,1978,"Hayes Valley Care (601 Laguna Street, Hayes Valley)",Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn
Foul Play,1978,Golden Gate & Steiner Streets (Hayes Valley),Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn
Foul Play,1978,"Fort Point, Presidio",Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn
Foul Play,1978,Fort Mason (Golden Gate National Recreation Area),Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn
Foul Play,1978,Flood Building (870 Market Street),Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn
Foul Play,1978,"Fiesta Laundromat (898 S. Van Ness Ave., Mission)",Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn
Foul Play,1978,City Hall,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn
Foul Play,1978,California & Larkin Streets (Nob Hill),Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn
Foul Play,1978,"Asian Art Museum (200 Larkin Street, Civic Center)",Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn
Foul Play,1978,Andrew S. Hallidie Plaza (Market & Powell Streets),Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn
Foul Play,1978,430 Vallejo Street (Telegraph Hill),Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn
Foul Play,1978,24th and Castro Streets (Noe Valley),Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn
Invasion of the Body Snatchers,1978,Pier 33 (Embarcadero),Solofilm,Philip Kaufman,Jack Finney,Donald Sutherland
Invasion of the Body Snatchers,1978,"Department of Public Health (101 Grove Street at Polk, Civic Center)",Solofilm,Philip Kaufman,Jack Finney,Donald Sutherland
Invasion of the Body Snatchers,1978,United Nations Plaza (Civic Center),Solofilm,Philip Kaufman,Jack Finney,Donald Sutherland
Invasion of the Body Snatchers,1978,Transamerica Building (600 Montgomery Street at Clay),Solofilm,Philip Kaufman,Jack Finney,Donald Sutherland
Invasion of the Body Snatchers,1978,San Francisco Drydock (20th and Illinois Streets),Solofilm,Philip Kaufman,Jack Finney,Donald Sutherland
Invasion of the Body Snatchers,1978,"Ramada Plaza Hotel Downtown (1231 Market Street, Civic Center)",Solofilm,Philip Kaufman,Jack Finney,Donald Sutherland
Invasion of the Body Snatchers,1978,"Postcard Row (Alamo Square, Hayes Valley)",Solofilm,Philip Kaufman,Jack Finney,Donald Sutherland
Invasion of the Body Snatchers,1978,Lafayette Park (Pacific Heights),Solofilm,Philip Kaufman,Jack Finney,Donald Sutherland
Invasion of the Body Snatchers,1978,Hamlin Hotel (385 Eddy Street),Solofilm,Philip Kaufman,Jack Finney,Donald Sutherland
Invasion of the Body Snatchers,1978,City Hall,Solofilm,Philip Kaufman,Jack Finney,Donald Sutherland
Invasion of the Body Snatchers,1978,Chinatown,Solofilm,Philip Kaufman,Jack Finney,Donald Sutherland
Invasion of the Body Snatchers,1978,Broadway Tunnel (Russian Hill),Solofilm,Philip Kaufman,Jack Finney,Donald Sutherland
Invasion of the Body Snatchers,1978,"Bimbo's 365 Club (1025 Columbus Avenue, North Beach)",Solofilm,Philip Kaufman,Jack Finney,Donald Sutherland
Invasion of the Body Snatchers,1978,720 Steiner Street (Hayes Valley),Solofilm,Philip Kaufman,Jack Finney,Donald Sutherland
Invasion of the Body Snatchers,1978,32 Napier Lane,Solofilm,Philip Kaufman,Jack Finney,Donald Sutherland
Invasion of the Body Snatchers,1978,1227 Montgomery Street (Telegraph Hill),Solofilm,Philip Kaufman,Jack Finney,Donald Sutherland
Superman,1978,Golden Gate Bridge,Dovemead Films,Richard Donner,Jerry Siegel,Christopher Reeve
Escape From Alcatraz,1979,Alcatraz Island,Paramount Pictures,Donald Siegel,Richard Tuggle,Clint Eastwood
Time After Time,1979,Lombard & Laguna Streets (Marina District),Orion Pictures Corp.,Nicholas Meyer,Karl Alexander,Malcolm McDowell
Time After Time,1979,Lombard & Fillmore Streets (Marina District),Orion Pictures Corp.,Nicholas Meyer,Karl Alexander,Malcolm McDowell
Time After Time,1979,Lombard & Divisadero Streets (Marina District),Orion Pictures Corp.,Nicholas Meyer,Karl Alexander,Malcolm McDowell
Time After Time,1979,Lombard & Broderick Streets (Marina District),Orion Pictures Corp.,Nicholas Meyer,Karl Alexander,Malcolm McDowell
Time After Time,1979,Justin Herman Plaza,Orion Pictures Corp.,Nicholas Meyer,Karl Alexander,Malcolm McDowell
Time After Time,1979,Intersection of Fulton & 6th Streets (Chinatown),Orion Pictures Corp.,Nicholas Meyer,Karl Alexander,Malcolm McDowell
Time After Time,1979,Intersection of California & Grant Streets (Richmond District),Orion Pictures Corp.,Nicholas Meyer,Karl Alexander,Malcolm McDowell
Time After Time,1979,Hyatt Regency Hotel (5 Embarcadero Center),Orion Pictures Corp.,Nicholas Meyer,Karl Alexander,Malcolm McDowell
Time After Time,1979,"Huntington Park (California & Taylor Streets, Nob Hill)",Orion Pictures Corp.,Nicholas Meyer,Karl Alexander,Malcolm McDowell
Time After Time,1979,Golden Gate Park,Orion Pictures Corp.,Nicholas Meyer,Karl Alexander,Malcolm McDowell
Time After Time,1979,Golden Gate Bridge,Orion Pictures Corp.,Nicholas Meyer,Karl Alexander,Malcolm McDowell
Time After Time,1979,"Ghirardelli Square (900 North Point Street, Fisherman's Wharf)",Orion Pictures Corp.,Nicholas Meyer,Karl Alexander,Malcolm McDowell
Time After Time,1979,Chestnut & Divisadero Streets (Marina District),Orion Pictures Corp.,Nicholas Meyer,Karl Alexander,Malcolm McDowell
Time After Time,1979,California Academy of Sciences (Golden Gate Park),Orion Pictures Corp.,Nicholas Meyer,Karl Alexander,Malcolm McDowell
Time After Time,1979,Broadway at Osgood Street (North Beach),Orion Pictures Corp.,Nicholas Meyer,Karl Alexander,Malcolm McDowell
Time After Time,1979,2340 Francisco Street,Orion Pictures Corp.,Nicholas Meyer,Karl Alexander,Malcolm McDowell
Time After Time,1979,100 Block of Union Street (Cow Hollow),Orion Pictures Corp.,Nicholas Meyer,Karl Alexander,Malcolm McDowell
Time After Time,1979,Old St. Mary's Church (660 California Street at Grant),Orion Pictures Corp.,Nicholas Meyer,Karl Alexander,Malcolm McDowell
Time After Time,1979,United Nations Plaza (Civic Center),Orion Pictures Corp.,Nicholas Meyer,Karl Alexander,Malcolm McDowell
Time After Time,1979,"SF General Hospital Center (1001 Potrero Avenue, Potrero Hill)",Orion Pictures Corp.,Nicholas Meyer,Karl Alexander,Malcolm McDowell
Time After Time,1979,Palace of Fine Arts (3301 Lyon Street),Orion Pictures Corp.,Nicholas Meyer,Karl Alexander,Malcolm McDowell
Time After Time,1979,One Embarcadero Center (Financial District),Orion Pictures Corp.,Nicholas Meyer,Karl Alexander,Malcolm McDowell
Time After Time,1979,Merchant Exchange (465 California Street at Leidesdorff),Orion Pictures Corp.,Nicholas Meyer,Karl Alexander,Malcolm McDowell
Time After Time,1979,Marina Green (Marina District),Orion Pictures Corp.,Nicholas Meyer,Karl Alexander,Malcolm McDowell
Can't Stop the Music,1980,101 Henry Adams Place,EMI Films,Nancy Walker,Allan Carr,Ray Simpson
Heart Beat,1980,San Francisco Art Institute (800 Chestnut Street),Orion Pictures Corporation,John Byrum,John Byrum,Nick Nolte
Heart Beat,1980,Washington Square Bar & Grill (1707 Powell),Orion Pictures Corporation,John Byrum,John Byrum,Nick Nolte
Heart Beat,1980,City Lights Bookstore (261 Columbus),Orion Pictures Corporation,John Byrum,John Byrum,Nick Nolte
Nine to Five,1980,Albert S. Samuels Clock (856 Market Street between Powell and Stockton),Twentieth Century Fox Film Corporation,Colin Higgins,Colin Higgins,Jane Fonda
Serial,1980,Ferry Building,Paramount Pictures,Bill Persky,Rich Eustis,Martin Mull
The Competition,1980,Pier 39,Columbia Pictures Corporation,Joel Oliansky,Joel Oliansky,Richard Dreyfuss
The Competition,1980,California Academy of Sciences (Golden Gate Park),Columbia Pictures Corporation,Joel Oliansky,Joel Oliansky,Richard Dreyfuss
Chu Chu and the Philly Flash,1981,Transbay Terminal (Mission Street at 1st Street),Melvin Simon Productions,David Lowell Rich,Barbara Dana,Alan Arkin
Chu Chu and the Philly Flash,1981,"Fairmont Hotel (950 Mason Street, Nob Hill)",Melvin Simon Productions,David Lowell Rich,Barbara Dana,Alan Arkin
Chu Chu and the Philly Flash,1981,22nd and Carolina Streets (Potrero Hill),Melvin Simon Productions,David Lowell Rich,Barbara Dana,Alan Arkin
Chan is Missing,1982,"Li Po (916 Grant Avenue at Washington, Chinatown)",New Yorker Films,Wayne Wang,Wayne Wang,Wood Moy
Chan is Missing,1982,Golden Dragon Restaurant (816 Washington Street at Grant),New Yorker Films,Wayne Wang,Wayne Wang,Wood Moy
Shoot the Moon,1982,"Fairmont Hotel (950 Mason Street, Nob Hill)",Metro-Goldwyn-Mayer (MGM),Alan Parker,Bo Goldman,Albert Finney
Star Trek II : The Wrath of Khan,1982,Golden Gate Park,Paramount Pictures,Nicholas Meyer,Jack B. Sowards,William Shatner
Sudden Impact,1983,"Near Point Lobos, El Camino Del Mar",Warner Bros. Pictures,Clint Eastwood,Harry Julian Fink,Clint Eastwood
Sudden Impact,1983,Mt. Davidson,Warner Bros. Pictures,Clint Eastwood,Harry Julian Fink,Clint Eastwood
Sudden Impact,1983,"McDonald's Restaurant (701 3rd Street, SOMA)",Warner Bros. Pictures,Clint Eastwood,Harry Julian Fink,Clint Eastwood
Sudden Impact,1983,"Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle, Nob Hill)",Warner Bros. Pictures,Clint Eastwood,Harry Julian Fink,Clint Eastwood
Sudden Impact,1983,Hall of Justice (850 Bryant Street),Warner Bros. Pictures,Clint Eastwood,Harry Julian Fink,Clint Eastwood
Sudden Impact,1983,Ferry Plaza,Warner Bros. Pictures,Clint Eastwood,Harry Julian Fink,Clint Eastwood
Sudden Impact,1983,"Fairmont Hotel (950 Mason Street, Nob Hill)",Warner Bros. Pictures,Clint Eastwood,Harry Julian Fink,Clint Eastwood
Sudden Impact,1983,Civic Center Plaza,Warner Bros. Pictures,Clint Eastwood,Harry Julian Fink,Clint Eastwood
Sudden Impact,1983,The Embarcadero/Ferry Building,Warner Bros. Pictures,Clint Eastwood,Harry Julian Fink,Clint Eastwood
Sudden Impact,1983,"Bowles Franklin Galleries (765 Beach Street, Fisherman's Wharf)",Warner Bros. Pictures,Clint Eastwood,Harry Julian Fink,Clint Eastwood
Sudden Impact,1983,"Pier 38-40, The Embarcadero",Warner Bros. Pictures,Clint Eastwood,Harry Julian Fink,Clint Eastwood
The Right Stuff,1983,"American Can Company (Between Illinois & Kentucky, 20th and 22nd Streets)",The Ladd Company,Philip Kaufman,Philip Kaufman,Sam Shepard
The Right Stuff,1983,Cow Palace,The Ladd Company,Philip Kaufman,Philip Kaufman,Sam Shepard
The Right Stuff,1983,City Hall,The Ladd Company,Philip Kaufman,Philip Kaufman,Sam Shepard
The Right Stuff,1983,Financial District,The Ladd Company,Philip Kaufman,Philip Kaufman,Sam Shepard
Crackers,1984,24th Street between Mission Street and Potrero Avenue,Universal Pictures,Louis Malle,Jeffrey Fiskin,Donald Sutherland
Crackers,1984,La Rondalla (Valencia and 20th Streets),Universal Pictures,Louis Malle,Jeffrey Fiskin,Donald Sutherland
Hard to Hold,1984,"Fairmont Hotel (950 Mason Street, Nob Hill)",Universal Pictures,Larry Peerce,"Thomas Hedley, Jr.",Rick Springfield
The Times of Harvey Milk,1984,The Castro,UCLA Film and Television Archive,Rob Epstein,Rob Epstein,Harvey Milk
The Woman In Red,1984,"Postcard Row (Alamo Square, Hayes Valley)",Orion Pictures Corp.,Gene Wilder,Jean Loup Dabadie & Yves Robert,Gene Wilder
The Woman In Red,1984,Brocklebank Apartments (1000 Mason Street),Orion Pictures Corp.,Gene Wilder,Jean Loup Dabadie & Yves Robert,Gene Wilder
The Woman In Red,1984,Palace of Fine Arts (3301 Lyon Street),Orion Pictures Corp.,Gene Wilder,Jean Loup Dabadie & Yves Robert,Gene Wilder
The Woman In Red,1984,Montgomery Street at Union Street,Orion Pictures Corp.,Gene Wilder,Jean Loup Dabadie & Yves Robert,Gene Wilder
A View to a Kill,1985,City Hall,Metro-Goldwyn Mayer,John Glen,Richard Maibaum,Roger Moore
A View to a Kill,1985,Port of San Francisco,Metro-Goldwyn Mayer,John Glen,Richard Maibaum,Roger Moore
